LAST SEEN   TYPE      REASON              OBJECT                                      MESSAGE
14m         Warning   FailedCreate        replicaset/server-deployment-7b677fc6c4     Error creating: pods "server-deployment-7b677fc6c4-xhwtn" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Warning   FailedCreate        replicaset/server-deployment-7b677fc6c4     Error creating: pods "server-deployment-7b677fc6c4-rgqxk" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    SuccessfulDelete    replicaset/server-deployment-558fc48947     Deleted pod: server-deployment-558fc48947-r2qhz
14m         Normal    Killing             pod/client-deployment-b887ddf88-wgxnc       Stopping container client
14m         Normal    SuccessfulDelete    replicaset/client-deployment-b887ddf88      Deleted pod: client-deployment-b887ddf88-wgxnc
14m         Normal    ScalingReplicaSet   deployment/client-deployment                Scaled down replica set client-deployment-b887ddf88 from 1 to 0
14m         Warning   FailedCreate        replicaset/postgres-deployment-5dccff8cd9   (combined from similar events): Error creating: pods "postgres-deployment-5dccff8cd9-v87rp" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    Pulled              pod/server-deployment-7b677fc6c4-c74tx      Container image "joseberrocal/poc09-server:ef84342" already present on machine
14m         Normal    SuccessfulCreate    replicaset/server-deployment-7b677fc6c4     Created pod: server-deployment-7b677fc6c4-c74tx
14m         Warning   FailedCreate        replicaset/server-deployment-7b677fc6c4     Error creating: pods "server-deployment-7b677fc6c4-n2fz4" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    Scheduled           pod/server-deployment-7b677fc6c4-c74tx      Successfully assigned poc18-security-tenant-b/server-deployment-7b677fc6c4-c74tx to ip-10-0-2-252.eu-west-1.compute.internal
14m         Normal    Started             pod/server-deployment-7b677fc6c4-c74tx      Started container server
14m         Normal    Killing             pod/server-deployment-558fc48947-qfwpt      Stopping container server
14m         Normal    Created             pod/server-deployment-7b677fc6c4-c74tx      Created container: server
14m         Normal    ScalingReplicaSet   deployment/server-deployment                Scaled down replica set server-deployment-558fc48947 from 1 to 0
14m         Normal    SuccessfulDelete    replicaset/server-deployment-558fc48947     Deleted pod: server-deployment-558fc48947-qfwpt
14m         Normal    SuccessfulCreate    replicaset/postgres-deployment-5dccff8cd9   Created pod: postgres-deployment-5dccff8cd9-hzbzs
14m         Normal    Scheduled           pod/postgres-deployment-5dccff8cd9-hzbzs    Successfully assigned poc18-security-tenant-b/postgres-deployment-5dccff8cd9-hzbzs to ip-10-0-2-63.eu-west-1.compute.internal
14m         Normal    ScalingReplicaSet   deployment/postgres-deployment              Scaled down replica set postgres-deployment-769c4ff4bd from 1 to 0
14m         Normal    SuccessfulDelete    replicaset/postgres-deployment-769c4ff4bd   Deleted pod: postgres-deployment-769c4ff4bd-wr9ts
14m         Normal    Killing             pod/postgres-deployment-769c4ff4bd-wr9ts    Stopping container postgres
13m         Normal    Pulled              pod/postgres-deployment-5dccff8cd9-hzbzs    Container image "postgres:16" already present on machine
13m         Normal    Created             pod/postgres-deployment-5dccff8cd9-hzbzs    Created container: postgres
13m         Normal    Started             pod/postgres-deployment-5dccff8cd9-hzbzs    Started container postgres
10m         Normal    ScalingReplicaSet   deployment/server-deployment                Scaled up replica set server-deployment-5bf4f865f4 from 0 to 1
10m         Normal    Scheduled           pod/server-deployment-5bf4f865f4-n48nf      Successfully assigned poc18-security-tenant-b/server-deployment-5bf4f865f4-n48nf to ip-10-0-2-63.eu-west-1.compute.internal
10m         Normal    SuccessfulCreate    replicaset/server-deployment-5bf4f865f4     Created pod: server-deployment-5bf4f865f4-n48nf
10m         Normal    SuccessfulDelete    replicaset/server-deployment-7b677fc6c4     Deleted pod: server-deployment-7b677fc6c4-rnh6z
10m         Normal    Started             pod/server-deployment-5bf4f865f4-n48nf      Started container server
10m         Normal    ScalingReplicaSet   deployment/server-deployment                Scaled down replica set server-deployment-7b677fc6c4 from 3 to 2
10m         Normal    Killing             pod/server-deployment-7b677fc6c4-rnh6z      Stopping container server
10m         Normal    Pulled              pod/server-deployment-5bf4f865f4-n48nf      Container image "joseberrocal/poc09-server:ef84342" already present on machine
10m         Normal    SuccessfulCreate    replicaset/server-deployment-5bf4f865f4     Created pod: server-deployment-5bf4f865f4-qrvc4
10m         Normal    Scheduled           pod/server-deployment-5bf4f865f4-qrvc4      Successfully assigned poc18-security-tenant-b/server-deployment-5bf4f865f4-qrvc4 to ip-10-0-1-244.eu-west-1.compute.internal
10m         Normal    Created             pod/server-deployment-5bf4f865f4-n48nf      Created container: server
10m         Normal    Pulled              pod/server-deployment-5bf4f865f4-qrvc4      Container image "joseberrocal/poc09-server:ef84342" already present on machine
10m         Normal    Created             pod/server-deployment-5bf4f865f4-qrvc4      Created container: server
10m         Normal    Started             pod/server-deployment-5bf4f865f4-qrvc4      Started container server
10m         Normal    Pulled              pod/server-deployment-5bf4f865f4-7bx7d      Container image "joseberrocal/poc09-server:ef84342" already present on machine
10m         Normal    SuccessfulCreate    replicaset/server-deployment-5bf4f865f4     Created pod: server-deployment-5bf4f865f4-7bx7d
10m         Normal    Started             pod/server-deployment-5bf4f865f4-7bx7d      Started container server
10m         Normal    Created             pod/server-deployment-5bf4f865f4-7bx7d      Created container: server
10m         Normal    Killing             pod/server-deployment-7b677fc6c4-ktncd      Stopping container server
10m         Normal    Scheduled           pod/server-deployment-5bf4f865f4-7bx7d      Successfully assigned poc18-security-tenant-b/server-deployment-5bf4f865f4-7bx7d to ip-10-0-2-252.eu-west-1.compute.internal
10m         Normal    SuccessfulDelete    replicaset/server-deployment-7b677fc6c4     Deleted pod: server-deployment-7b677fc6c4-ktncd
10m         Normal    Killing             pod/server-deployment-7b677fc6c4-c74tx      Stopping container server
10m         Normal    SuccessfulDelete    replicaset/server-deployment-7b677fc6c4     Deleted pod: server-deployment-7b677fc6c4-c74tx
49s         Normal    Scheduled           pod/server-deployment-667c4f85cd-x6g2q      Successfully assigned poc18-security-tenant-b/server-deployment-667c4f85cd-x6g2q to ip-10-0-2-63.eu-west-1.compute.internal
49s         Normal    SuccessfulCreate    replicaset/server-deployment-667c4f85cd     Created pod: server-deployment-667c4f85cd-x6g2q
49s         Normal    ScalingReplicaSet   deployment/server-deployment                (combined from similar events): Scaled up replica set server-deployment-667c4f85cd from 0 to 1
1s          Warning   Failed              pod/server-deployment-667c4f85cd-x6g2q      Error: secret "pgpassword" not found
1s          Normal    Pulled              pod/server-deployment-667c4f85cd-x6g2q      Container image "joseberrocal/poc09-server:ef84342" already present on machine
